,portfolio,portfolio.curve,portfolio.percent.curve,capital
2024-10-30,4690.000000000019,-42956.4677777777,-4.295646777777769,1000000.0
2024-10-31,-3349.9999999998095,-46306.467777777514,-4.63064677777775,1000000.0
2024-11-01,-9380.000000000038,-55686.46777777755,-5.568646777777754,1000000.0
2024-11-04,10720.000000000247,-44966.4677777773,-4.4966467777777295,1000000.0
2024-11-05,10049.999999999905,-34916.4677777774,-3.491646777777739,1000000.0
2024-11-06,-38875.81000000036,-73792.27777777775,-7.379227777777775,1000000.0
2024-11-07,-8912.0099999997,-82704.28777777746,-8.270428777777745,1000000.0
2024-11-08,10784.19000000009,-71920.09777777737,-7.192009777777736,1000000.0
2024-11-11,-13687.4300000001,-85607.52777777746,-8.560752777777747,1000000.0
2024-11-12,-18907.430000000037,-104514.9577777775,-10.451495777777751,1000000.0
2024-11-13,5209.330000000022,-99305.62777777748,-9.930562777777748,1000000.0
2024-11-14,-14097.904999999992,-113403.53277777747,-11.340353277777748,1000000.0
2024-11-15,8330.949999999975,-105072.58277777748,-10.507258277777751,1000000.0
2024-11-18,192.56999999995224,-104880.01277777753,-10.488001277777755,1000000.0
2024-11-19,3974.1900000001015,-100905.82277777743,-10.090582277777745,1000000.0
2024-11-20,-2431.620000000091,-103337.44277777753,-10.333744277777754,1000000.0
2024-11-21,1424.1899999999694,-101913.25277777755,-10.191325277777757,1000000.0
2024-11-22,1004.1900000000387,-100909.06277777752,-10.090906277777753,1000000.0
2024-11-25,-495.8100000000182,-101404.87277777753,-10.140487277777755,1000000.0
2024-11-26,-1499.9999999999147,-102904.87277777745,-10.290487277777746,1000000.0
2024-11-27,1768.3799999999617,-101136.49277777749,-10.11364927777775,1000000.0
2024-11-28,1690.0000000000332,-99446.49277777746,-9.944649277777746,1000000.0
2024-11-29,2194.18999999993,-97252.30277777753,-9.725230277777753,1000000.0
2024-12-02,-2639.9999999999864,-99892.30277777751,-9.989230277777752,1000000.0
2024-12-03,1184.190000000017,-98708.1127777775,-9.87081127777775,1000000.0
